ID,TRANSMITTER_NAME,MUX_OPERATOR,SERVICE,LATITUDE,LONGITUDE,TRANSMITTER_HEIGHT,CHANNEL,FREQUENCY,TRANSMITTER_POWER,TOTAL_POPULATION,COVERED_POPULATION,PANEL_DIRECTION,PHASE,TRANSMITTER_TYPE
195,"TVRI Baribis","TVRI  ",Digital,-7.1206530000,108.8549780000,65.00,28,530,1.00,0,2647285,"18°/4,  108°/8 , 198°/2 , 288°/2",Digital,Digital
196,"TVRI Boroko","TVRI  ",Digital,0.8946360000,123.2331080000,65.00,28,530,1.00,0,72264,"10°/6, 190°/6 , 280°/4",Digital,Digital
197,"TVRI Cikurai","TVRI  ",Digital,-7.3047000000,107.8813140000,66.00,43,650,2.50,0,1847048,"0°/8 , 90°/8",Digital,Digital
198,"TVRI Donggala","TVRI  ",Digital,-0.6708190000,119.7457140000,25.00,32,562,1.00,0,25716,"40°/4 , 130°/4 , 220°/4 , 310°/4",Digital,Digital
199,"TVRI Gn. Sitoli","TVRI  ",Digital,1.2880750000,97.6159170000,65.00,29,538,1.00,0,114450,"170°/4 , 230°/4 , 320°/4 ",Digital,Digital
200,"TVRI Gn.Depok","TVRI  ",Digital,-7.5562920000,109.2537140000,118.00,30,546,5.00,0,4917294,"0°/4 , 90°/8 , 180°/4 , 270°/8     ",Digital,Digital
201,"TVRI Gn.Muntai","TVRI  ",Digital,-2.9857310000,106.5250170000,50.00,45,666,2.50,0,2655,"5°/8 , 95°/4 , 275°/4",Digital,Digital
202,"TVRI Gn.Doek","TVRI  ",Digital,-7.9466250000,113.1336530000,85.00,31,554,2.50,0,1347652,"35°/8 , 125°/8",Digital,Digital
203,"TVRI Gn.Walad","TVRI  ",Digital,-6.9137220000,106.8361250000,29.00,31,554,1.00,0,2461847,"0°/4 , 90°/4 , 180°/ , 270°/",Digital,Digital
204,"TVRI Ipuh","TVRI  ",Digital,-2.9927860000,101.4926420000,65.00,45,666,45.00,0,39836,"50°/4 , 140°/8 , 330°/4",Digital,Digital
205,"TVRI Kandangan","TVRI  ",Digital,-2.8557190000,115.2480420000,85.00,30,546,2.50,0,810797,"0°/6, 90°/4, 210°/3, 270°/3",Digital,Digital
206,"TVRI Kijang","TVRI  ",Digital,0.8435750000,104.5998060000,75.00,48,690,2.50,0,321542,"25°/4 , 115°/4 , 205°/4 , 295°/4",Digital,Digital
207,"TVRI Kuala Tungkal","TVRI  ",Digital,-1.0269440000,103.0405560000,65.00,43,650,1.00,0,131687,"60°/4 , 150°/4 , 240°/4 , 330°/4",Digital,Digital
208,"TVRI Masohi","TVRI  ",Digital,-3.3229920000,128.9410310000,65.00,29,538,1.00,0,80968,"50°/4 , 140°/2 , 230°/8 , 320°/2 ",Digital,Digital
209,"TVRI Merauke","TVRI  ",Digital,-8.4886780000,140.3875250000,65.00,28,530,2.50,0,152375,"45°/6 , 135°/4 , 225°/2 , 315°/4",Digital,Digital
210,"TVRI Natuna","TVRI  ",Digital,3.9371780000,108.3712580000,65.00,48,690,1.00,0,25961,"65°/2 ,  180°/4 ,  245°/4,  335°/2    ",Digital,Digital
211,"TVRI Paguyaman","TVRI  ",Digital,0.5584610000,123.0487970000,40.00,28,530,0.25,0,467951,"60°/1 , 130°/1 , 240° , 315°",Digital,Digital
212,"TVRI Pasir Pangarayan","TVRI  ",Digital,0.8560500000,100.3053390000,65.00,29,538,1.00,0,332301,"35°/6 , 125°/4 ,   215°/2,   305°/4  ",Digital,Digital
213,"TVRI Sampit","TVRI  ",Digital,-2.5639440000,112.9517440000,85.00,28,530,2.50,0,260892,"0°/8, 90°/4, 180°/6, 270°/6",Digital,Digital
214,"TVRI Semanggi","TVRI  ",Digital,-7.0584220000,111.4387860000,65.00,30,546,1.00,0,866160,"110°/4 , 195°/4 , 270°/8 ",Digital,Digital
215,"TVRI Sorong","TVRI  ",Digital,-0.8698670000,131.2627720000,65.00,28,530,1.00,0,280544,"130°/8 ,  210°/8 ",Digital,Digital
216,"TVRI Toboli","TVRI  ",Digital,-0.7119720000,120.0941640000,85.00,32,562,1.00,0,86406,"140°/6 , 320°/6  ",Digital,Digital
217,"TVRI Tuban","TVRI  ",Digital,-7.0154940000,112.0114000000,85.00,43,650,2.50,0,2386080,"25°/6 , 115°/2 , 205°/4 , 295°/4",Digital,Digital
218,"TVRI Bima","TVRI  ",Digital,-8.5436310000,118.8110780000,75.00,28,530,1.00,0,764274,"105°/6 , 275°/6 , 315°/4",Digital,Digital
219,"TVRI Seganteng","TVRI  ",Digital,-8.5875810000,116.3470780000,80.00,29,538,2.50,0,2874738,"90°/8 , 180°/8 , 270°/8     ",Digital,Digital
220,"TVRI Padang Sidempuan","TVRI  ",Digital,1.2880750000,99.2556420000,45.00,28,530,1.00,0,584791,"50°/4,  135°/8 , 235°/2,  280°/2 ",Digital,Digital
221,"TVRI Sinabang","TVRI  ",Digital,2.4699670000,96.3849720000,53.00,29,538,1.00,0,26192,"265°/8,  320°/8",Digital,Digital
222,"TVRI Gn.Tela","TVRI  ",Digital,-6.5277440000,106.5468580000,65.00,38,610,5.00,0,31214901,"40°/8 , 130°/8 , 310°/8",Digital,Digital
223,"TVRI Morotai","TVRI  ",Digital,2.0100000000,128.2826690000,65.00,28,530,1.00,0,24135,"0°/8 , 90°/8",Digital,Digital
227,"TVRI Simpang Pematang","TVRI  ",Digital,-4.0236750000,105.2503720000,65.00,30,546,1.00,0,323690,"90°/4 , 180°/6 , 270°/6 ",Digital,Digital
228,"Metro Tv Balige","Metro TV",Digital,2.3344170000,99.0369440000,0.00,0,0,0.00,0,0,,Digital,Digital
229,"Metro Tv Tanjung Redeb","Metro TV",Digital,2.1488060000,117.4832580000,0.00,0,0,0.00,0,0,,Digital,Digital
230,"Metro Tv Tanjung Selor","Metro TV",Digital,2.8436110000,117.4016670000,50.00,45,665,0.30,0,0,"Omni Directional/1",Digital,Digital
232,"Metro Tv Rantauprapat","Metro TV",Digital,2.0810000000,99.8409640000,0.00,0,0,0.00,0,0,,Digital,Digital
233,"Trans TV Tegal","Trans TV",Digital,-7.0702780000,109.2372220000,100.00,44,658,1.20,0,0,"Horizontal ",Digital,Digital
234,"TVRI sungai Penuh","TVRI  ",Digital,-2.0340610000,101.4082140000,75.00,30,546,1.00,0,200682,"30°/2 , 120°/6 , 210°/4 , 300°/4",Digital,Digital
235,"TVRI Maumere","TVRI  ",Digital,-8.6325560000,122.2246690000,65.00,30,546,0.00,0,270335,"45°/4, 135°/4 , 225°/4, 315°/4",Unknown,Digital
236,"TVRI Garung","TVRI  ",Digital,-7.3514560000,110.0292530000,65.00,30,546,2.50,0,3313771,"60°/6,  240°/6 ",Digital,Digital
237,"TVRI Labuan Bajo","TVRI  ",Digital,-8.4907220000,119.8809440000,65.00,29,538,0.00,0,150659,"50°/4, 140°/4 , 230°/4, 320°/4",Unknown,Digital
238,"TVRI Parapat","TVRI  ",Digital,2.6663170000,98.9271110000,0.00,0,0,0.00,0,160678,,Unknown,Digital
239,"TVRI Sibolga","TVRI  ",Digital,1.7489260000,98.7745320000,0.00,0,0,0.00,0,388138,,Unknown,Digital
240,"Metro Tv Sendawar","Metro TV",Digital,-0.2317000000,115.8057330000,60.00,40,626,0.30,0,0,"0°/2, 90°/2, 180°/2, 270°/2",Digital,Digital
241,"Metro Tv Sangatta","Metro TV",Digital,0.4961190000,117.5058890000,50.00,42,642,0.30,0,0,"0°/3, 90°/3, 180°/3, 270°/3",Digital,Digital
242,"Metro TV Sigli","Metro TV",Digital,5.3802530000,95.9658140000,0.00,0,0,0.00,0,0,,Unknown,Unknown
243,"Trans7 Pematang Siantar","Trans 7",Digital,2.9486110000,99.0633330000,0.00,0,0,0.00,0,0,,Unknown,Unknown
244,"Trans7 Medan","Trans 7",Digital,3.2563890000,98.5391670000,0.00,0,0,0.00,0,0,,Unknown,Unknown
