ID,TRANSMITTER_NAME,MUX_OPERATOR,SERVICE,LATITUDE,LONGITUDE,TRANSMITTER_HEIGHT,CHANNEL,FREQUENCY,TRANSMITTER_POWER,TOTAL_POPULATION,COVERED_POPULATION,PANEL_DIRECTION,PHASE,TRANSMITTER_TYPE
119,"TVRI Manokwari","TVRI  ",Digital,-0.8587500000,134.0626390000,65.00,28,530,5.00,0,116255,"50°/6,  140°/6, 230°/6, 320°/6",Digital,Digital
121,"Metro Tv Banda Aceh","Metro TV",Digital,5.5103250000,95.2989110000,0.00,0,0,0.00,0,0,,Digital,Digital
122,"Metro Tv Meulaboh","Metro TV",Digital,4.1700420000,96.1349530000,0.00,0,0,0.00,0,0,,Digital,Digital
123,"Metro Tv Sabang","Metro TV",Digital,5.8523140000,95.3479440000,0.00,0,0,0.00,0,0,,Digital,Digital
127,"Trans Tv Batam","Trans TV",Digital,1.1228690000,103.9455160000,125.00,46,674,1200.00,0,0,"Horizontal ",Digital,Digital
128,"Trans Tv Cilegon","Trans TV",Digital,-6.0141480000,106.0793700000,60.00,40,626,0.50,0,0,"Horizontal ",Digital,Digital
129,"Trans Tv Pandeglang","Trans TV",Digital,-6.2902600000,110.6114923000,60.00,40,626,0.50,0,0,"Horizontal ",Digital,Digital
130,"Trans_7 Banjarmasin","Trans 7",Digital,-3.3166670000,113.6302190000,66.00,36,594000,0.80,0,0,"3 Arrah",Digital,Digital
131,"Trans_7 Banda Aceh","Trans 7",Digital,5.5147220000,95.2385810000,50.00,32,562000,0.30,0,0,"2 Arah",Digital,Digital
132,"Trans_7 Samarinda","Trans 7",Digital,-0.5371280000,117.1465750000,68.00,31,554000,0.50,0,0,"3 Arah",Digital,Digital
133,"Trans TV Bandung","Trans TV",Digital,-6.8153530000,107.5603550000,85.00,45,664,2.40,0,7862249,"Horizontal ",Digital,Digital
134,"Trans TV Cianjur Selatan","Trans TV",Digital,-7.0851110000,107.1182750000,60.00,40,626,0.50,0,0,"Horizontal ",Digital,Digital
135,"Trans TV Cirebon","Trans TV",Digital,-6.8116670000,108.4374170000,100.00,41,634,1.20,0,0,"Horizontal ",Digital,Digital
136,"Trans TV Garut","Trans TV",Digital,-7.1803530000,107.9770830000,40.00,40,626,-1.00,0,0,"Horizontal ",Digital,Digital
137,"Trans TV Jakarta","Trans TV",Digital,-6.2161670000,106.7244440000,250.00,40,626,3.50,0,0,"Omni Horizontal ",Digital,Digital
138,"Trans TV Jember","Trans TV",Digital,-8.1604110000,113.5539200000,80.00,48,690,1.20,0,0,"Horizontal ",Digital,Digital
139,"Trans TV Kediri","Trans TV",Digital,-7.8632020000,111.8561250000,60.00,48,690,1.20,0,0,"Horizontal ",Digital,Digital
140,"Trans TV Madiun","Trans TV",Digital,-7.6733330000,111.2386110000,0.00,0,0,0.00,0,0,,Digital,Digital
141,"Trans TV Purwokerto","Trans TV",Digital,-7.5493610000,109.2510560000,60.00,40,626,1.20,0,0,"Horizontal ",Digital,Digital
142,"Trans TV Semarang","Trans TV",Digital,-7.0439170000,110.4243330000,125.00,42,642,2.50,0,0,"Horizontal ",Digital,Digital
143,"Trans TV Sukabumi","Trans TV",Digital,-6.8717660000,106.9715720000,60.00,45,666,1.20,0,0,"Horizontal ",Digital,Digital
144,"Trans TV Sumedang","Trans TV",Digital,-6.8128610000,107.9534170000,60.00,41,634,1.20,0,0,"Horizontal ",Digital,Digital
145,"Trans TV Surabaya","Trans TV",Digital,-7.2741670000,112.6758330000,200.00,27,524,2.50,0,0,"Horizontal ",Digital,Digital
